Date,Cluster01,Cluster02,Cluster03,Cluster04,Cluster05,Neutral,Positive,Negative,tomato,Badulla_precipitation_sum,Kandy_precipitation_sum,Nuwara Eliya_precipitation_sum,Badulla_relative_humidity_2m_mean,Kandy_relative_humidity_2m_mean,Nuwara Eliya_relative_humidity_2m_mean,Badulla_temperature_2m_mean,Kandy_temperature_2m_mean,Nuwara Eliya_temperature_2m_mean
2015-05-18,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,33.0,0.6,1.2,2.3000002,82.90478,84.03343,87.85563,24.240168,24.38925,18.32775
2015-05-19,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,38.0,0.2,1.1,2.4,82.39711,84.77358,90.20755,24.54225,24.401749,18.323584
2015-05-20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.7000002,81.96087,83.902565,88.49059,24.865166,24.695498,18.856915
2015-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.4,1.5000001,78.541115,83.37649,88.16787,25.356833,24.810081,19.05275
2015-05-22,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,30.0,0.4,0.1,2.8,79.19431,82.78279,88.71619,25.288088,24.872581,19.186085
2015-05-23,0.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,31.7,0.4,1.5000001,3.3,81.43983,85.39773,89.596924,24.983917,24.466331,19.229834
2015-05-24,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,33.3,0.6,1.2,1.8000001,79.11551,84.36702,87.9723,25.21308,24.349669,19.231916
2015-05-25,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,0.3,78.23872,83.40909,85.11575,25.348501,24.710081,19.61525
2015-05-26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,0.8,1.5,1.1,78.55117,85.1039,85.978966,25.2985,24.551744,19.3465
2015-05-27,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,25.0,2.0,1.7,3.1000001,77.50085,84.5828,85.38168,25.475584,24.791336,19.229834
