YearMonth,Cluster01,Cluster02,Cluster03,Cluster04,Cluster05,Positive,Neutral,Negative,Total Tourist Arrivals,Sri Lanka Hotels,Sri Lanka Flights,Sri Lanka Visa
1/1/2006,3,0,3,1,1,1,4,3,52103,49,29,0
2/1/2006,0,0,0,0,3,0,1,2,52687,41,20,0
3/1/2006,0,0,1,3,1,1,3,1,54746,35,20,47
4/1/2006,5,0,0,3,3,2,5,4,49776,38,20,0
5/1/2006,1,0,2,1,8,4,3,5,43825,34,16,0
6/1/2006,1,0,0,1,0,0,2,0,44066,29,17,0
7/1/2006,2,0,0,0,0,1,1,0,55354,36,15,0
8/1/2006,0,0,3,1,2,0,1,5,52931,33,16,36
9/1/2006,0,0,0,0,0,0,0,0,38485,24,13,0
10/1/2006,0,0,0,0,0,0,0,0,38815,30,18,32
11/1/2006,2,0,7,7,7,7,6,10,37591,35,14,79
12/1/2006,0,0,0,0,0,0,0,0,39224,30,15,65
1/1/2007,3,0,6,4,4,4,5,8,56553,36,23,0
2/1/2007,1,0,0,6,4,2,4,5,43051,29,19,0
3/1/2007,2,0,1,3,4,3,4,3,35031,31,19,40
4/1/2007,0,0,2,7,10,3,9,7,33039,25,19,32
5/1/2007,0,0,15,6,10,9,12,10,26307,22,16,43
6/1/2007,2,0,1,4,7,2,10,2,30810,28,16,61
7/1/2007,1,0,0,8,4,1,4,8,44142,33,19,52
8/1/2007,0,0,1,1,2,0,2,2,44742,34,21,61
9/1/2007,1,0,2,5,1,1,4,4,37104,30,20,42
10/1/2007,0,0,0,0,0,0,0,0,37011,32,23,34
11/1/2007,1,0,1,7,4,1,8,4,45102,32,19,46
12/1/2007,0,0,11,7,3,6,13,2,61116,33,15,0
1/1/2008,2,0,2,12,5,4,9,8,56916,35,21,44
2/1/2008,1,0,0,8,2,1,4,6,40551,28,14,42
3/1/2008,0,0,8,8,10,3,9,14,38049,29,14,43
4/1/2008,6,0,3,9,6,4,10,10,29747,22,15,50
5/1/2008,3,0,1,4,18,4,9,13,31140,23,14,40
6/1/2008,3,0,13,8,4,7,11,10,27960,26,14,47
7/1/2008,0,0,1,6,3,1,4,5,32982,27,15,43
8/1/2008,1,0,3,6,5,1,10,4,30672,27,15,33
9/1/2008,2,0,4,8,1,5,5,5,29529,22,15,33
10/1/2008,0,0,0,0,0,0,0,0,35103,23,14,38
11/1/2008,0,0,6,5,4,2,6,7,36901,25,13,40
12/1/2008,2,0,5,5,5,4,2,11,48925,25,13,31
1/1/2009,5,2,2,5,2,3,6,7,38468,29,18,33
2/1/2009,2,0,1,4,7,1,3,10,34169,22,14,34
3/1/2009,8,0,3,2,3,2,8,6,34065,22,11,36
4/1/2009,4,0,0,3,7,2,6,6,26054,28,11,35
5/1/2009,14,2,4,1,21,15,14,13,24739,26,11,46
6/1/2009,25,0,2,4,8,3,23,13,30234,31,13,50
7/1/2009,27,2,2,3,3,3,17,17,42223,38,14,42
8/1/2009,8,3,13,3,0,2,14,11,41207,41,16,45
9/1/2009,8,0,3,2,5,4,8,6,37983,36,15,46
10/1/2009,1,0,4,2,6,4,5,4,37575,40,14,43
11/1/2009,5,0,3,2,6,1,6,9,44311,41,16,41
12/1/2009,3,1,5,5,3,3,6,8,56862,41,14,28
1/1/2010,7,0,6,8,3,6,10,8,50757,47,21,43
2/1/2010,6,2,0,3,4,1,8,6,57300,43,15,54
3/1/2010,7,0,3,6,4,3,14,3,52352,43,18,48
4/1/2010,5,0,1,2,2,2,1,7,38300,41,16,49
5/1/2010,14,0,37,4,30,26,27,32,35213,39,16,46
6/1/2010,10,2,3,8,8,6,14,11,44730,40,16,44
7/1/2010,32,0,3,3,6,4,21,19,63339,46,16,38
8/1/2010,16,1,1,0,6,4,11,9,55898,48,17,49
9/1/2010,8,0,2,0,2,2,8,2,47339,43,15,37
10/1/2010,4,0,3,5,5,4,8,5,52370,43,13,42
11/1/2010,1,0,20,1,5,2,15,10,72251,44,14,41
12/1/2010,6,0,10,4,10,4,11,15,84627,40,13,38
1/1/2011,2,0,91,14,11,32,42,44,74197,44,16,34
2/1/2011,5,0,53,7,7,14,22,36,65797,39,14,34
3/1/2011,4,0,5,9,2,2,10,8,75130,33,13,40
4/1/2011,7,0,4,8,4,4,7,12,63835,33,13,42
5/1/2011,2,1,2,3,23,10,17,4,48943,34,14,34
6/1/2011,14,0,4,1,5,5,14,5,53636,39,15,43
7/1/2011,8,0,5,5,7,4,7,14,83786,40,16,37
8/1/2011,8,1,2,6,8,9,8,8,72463,49,15,38
9/1/2011,7,0,2,1,4,2,5,7,60219,38,14,39
10/1/2011,0,0,0,0,0,0,0,0,69563,39,14,40
11/1/2011,6,0,5,9,7,5,10,12,90889,41,12,38
12/1/2011,9,0,6,2,9,5,14,7,97517,40,13,27
1/1/2012,8,0,2,3,5,1,9,8,85874,45,16,36
2/1/2012,8,0,0,14,7,1,12,16,83549,38,15,30
3/1/2012,2,1,1,8,7,4,8,7,91102,36,14,31
4/1/2012,8,0,3,7,6,4,8,12,69591,36,13,30
5/1/2012,6,1,1,6,16,5,16,9,57506,35,14,33
6/1/2012,21,0,6,8,13,2,22,24,65245,36,15,31
7/1/2012,14,0,4,5,8,6,10,15,90338,40,15,35
8/1/2012,5,0,5,2,11,4,6,13,79456,42,15,31
9/1/2012,4,1,6,5,9,1,13,11,71111,43,17,31
10/1/2012,1,0,5,6,3,2,10,3,80379,39,15,31
11/1/2012,7,0,9,3,2,2,7,12,109202,39,13,25
12/1/2012,2,0,18,1,2,4,3,16,122252,38,12,26
1/1/2013,0,0,0,0,0,0,0,0,110543,45,20,31
2/1/2013,0,0,0,0,0,0,0,0,113968,38,16,31
3/1/2013,0,0,0,0,0,0,0,0,113208,36,17,29
4/1/2013,0,0,0,0,0,0,0,0,80737,35,14,29
5/1/2013,0,0,0,0,0,0,0,0,74838,34,13,30
6/1/2013,0,0,0,0,0,0,0,0,90279,35,14,29
7/1/2013,0,0,0,0,0,0,0,0,107016,41,15,31
8/1/2013,0,0,0,0,0,0,0,0,123269,44,16,28
9/1/2013,0,0,0,0,0,0,0,0,90339,38,16,32
10/1/2013,0,0,0,0,0,0,0,0,107058,39,15,29
